archaeological_layer.archstratigraphy_idarchstrat;assemblage.locality_idlocality;assemblage.name;assemblage.lithic_piece_count;locality.x;locality.y;query_age_min;query_age_max;age_comments
Still Bay;Peers Cave;Peers Cave Exc. Peers MSA Collection;-1;18.4074861;-34.1190694;70000;77000;arch_strat: Stillbay, Peers describes SB artefacts, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
MSA;Peers Cave;Peers Cave Exc. Peers Still Bay Collection;-1;18.4074861;-34.1190694;30000;77000;arch_strat: MSA, Peers describes HP and SB artefacts, therefore we choose SB max age as age_max, the Fish Hoek Man burial is dated to 6891+/-37 ka (C-14) but seems intrusive, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
MSA;Peers Cave;Peers Cave Exc. Peers Still Bay Collection;-1;18.4074861;-34.1190694;30000;77000;arch_strat: MSA, Peers describes SB artefacts in the underlying Layer 6, therefore we choose SB max age as age_max, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
MSA;Peers Cave;Peers Cave Exc. Peers Still Bay Collection;-1;18.4074861;-34.1190694;70000;77000;arch_strat: Stillbay, Peers describes SB artefacts, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
Still Bay;Peers Cave;Peers Cave Exc. Peers Still Bay Collection;-1;18.4074861;-34.1190694;30000;77000;arch_strat: MSA, Peers describes HP and SB artefacts, therefore we choose SB max age as age_max, the Fish Hoek Man burial is dated to 6891+/-37 ka (C-14) but seems intrusive, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
Still Bay;Peers Cave;Peers Cave Exc. Peers Still Bay Collection;-1;18.4074861;-34.1190694;30000;77000;arch_strat: MSA, Peers describes SB artefacts in the underlying Layer 6, therefore we choose SB max age as age_max, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
Still Bay;Peers Cave;Peers Cave Exc. Peers Still Bay Collection;-1;18.4074861;-34.1190694;70000;77000;arch_strat: Stillbay, Peers describes SB artefacts, descriptions from Volman 1981, overall: due to sparse information on older excavations and collections the attribution to an archaeological technocomplex seems very difficult;
Lupemban;Peperkorrel;Peperkorrel Surface Layer Sample 1 Archaeological Assemblage;115;18;-23.35;200000;300000;No direct dates. Archaeological correlation places this site between 200000 and 300000BP (Lupemban).;
Lupemban;Peperkorrel;Peperkorrel Surface Layer Sample 2 Archaeological Assmblage;197;18;-23.35;200000;300000;No direct dates. Archaeological correlation places this site between 200000 and 300000BP (Lupemban).;
MSA;Pietkloof Cave;Pietkloof Cave Layer 3 Archaeological Assemblage;2;28.0082;-25.8056;30000;300000;arch_strat: MSA;
Pre-Still Bay;Pinnacle Point 13a;Pinnacle Point 13a Brown Humic Sands Arch. Assemblage;-1;22.08945;-34.2079083;77000;130000;arch_strat: pre Stillbay;
Pre-Still Bay;Pinnacle Point 13a;Pinnacle Point 13a White Sands Arch. Assemblage;-1;22.08945;-34.2079083;77000;130000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b East 5c Archaeological Assemblage;1683;22.0895028;-34.2078167;85000;118000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b East 5d Archaeological Assemblage;47;22.0895028;-34.2078167;105000;318000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b East Post 90 ka Archaeological Assemblage;503;22.0895028;-34.2078167;43500;91000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b LC-MSA 5e Archaeological Assemblage;235;22.0895028;-34.2078167;88000;133000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b LC-MSA 5e Archaeological Assemblage;235;22.0895028;-34.2078167;118000;133000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b LC-MSA 6 Archaeological Assemblage;1567;22.0895028;-34.2078167;118000;175000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b Re-deposited Disturbance Archaeological Assemblage;920;22.0895028;-34.2078167;46100;90200;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b South Pit Fill Archaeological Assemblage;51;22.0895028;-34.2078167;2000;86000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b Surface Sediments LC-MSA Archaeological Assemblage;-1;22.0895028;-34.2078167;39000;92000;cave was closed;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 5c Archaeological Assemblage;1203;22.0895028;-34.2078167;86000;95800;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 5c Archaeological Assemblage;1203;22.0895028;-34.2078167;95800;102800;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 5c Archaeological Assemblage;1203;22.0895028;-34.2078167;95800;135000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 5c Archaeological Assemblage;1203;22.0895028;-34.2078167;101200;135000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 6 Archaeological Assemblage;525;22.0895028;-34.2078167;13500;167000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 6 Archaeological Assemblage;525;22.0895028;-34.2078167;135000;167000;;
MSA;Pinnacle Point 13b;Pinnacle Point 13b West 6 Archaeological Assemblage;525;22.0895028;-34.2078167;151000;167000;;
Pre-Still Bay;Pinnacle Point 13c;Pinnacle Point 13c Test Excavation Arch. Assemblage;120;22.089575;-34.2077083;77000;130000;;
MSA;Pinnacle Point 5-6;Pinnacle Point 5-6 ALBS Archaeological Assemblage;395;22.08945;-34.2079;64000;83000;;
Howiesonspoort;Pinnacle Point 5-6;Pinnacle Point 5-6 DBCS Archaeological Assemblage;1356;22.08945;-34.2079;56000;69000;;
MSA;Pinnacle Point 5-6;Pinnacle Point 5-6 LBSR Archaeological Assemblage;1185;22.08945;-34.2079;76000;89000;;
MSA;Pinnacle Point 5-6;Pinnacle Point 5-6 OBS1 Archaeological Assemblage;486;22.08945;-34.2079;61000;74000;;
MSA;Pinnacle Point 5-6;Pinnacle Point 5-6 RBSR Archaeological Assemblage;187;22.08945;-34.2079;46000;64000;;
MSA;Pinnacle Point 5-6;Pinnacle Point 5-6 SADBS Archaeological Assemblage;3556;22.08945;-34.2079;60000;82000;;
MSA;Pinnacle Point 5-6;Pinnacle Point 5-6 SGS Archaeological Assemblage;510;22.08945;-34.2079;56000;69000;;
Pre-Still Bay;Pinnacle Point 9;Pinnacle Point 9 Test Excavation Arch. Assemblage;7;22.0901694;-34.206689;77000;130000;arch_strat: pre Stillbay;
Fauresmith;Pniel 6;Pniel 6 Area 3 Ecker Excavation;529;24.581527;-28.607804;300000;650000;;
Acheulean - Africa;Pniel 6;Pniel 6a collection Inventar;33;24.581527;-28.607804;300000;1800000;Acheulean artifacts are noted from Younger Gravel C;
Howiesonspoort;Pockenbank 1;Pockenbank 1 Layer 3 Archaeological Assemblage;2575;16.532834;-27.220628;31730;66000;C14-dates would be too young for a Howiesons poort assemblage.Vogelsang assumes that the layer is ~350000 BC.;
Pre-Howiesonspoort;Pockenbank 1;Pockenbank 1 Layer 4 Archaeological Assemblage;923;16.532834;-27.220628;39000;70000;;
Pre-Howiesonspoort;Pockenbank 1;Pockenbank 1 Layer 5 Archaeological Assemblage;488;16.532834;-27.220628;39000;70000;;
Magosian;Pomongwe Cave;Pomongwe Excavation I+II Layer 10 Archaeological Assemblage;29;28.513502;-20.547533;20000;40000;;
Magosian;Pomongwe Cave;Pomongwe Excavation I+II Layer 10 LSA Collection;86;28.513502;-20.547533;20000;40000;;
Magosian;Pomongwe Cave;Pomongwe Excavation I+II Layer 11 Archaeological Assemblage;69;28.513502;-20.547533;20000;40000;;
Magosian;Pomongwe Cave;Pomongwe Excavation I+II Layer 12 Archaeological Assemblage;47;28.513502;-20.547533;20000;40000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 13-14 Archaeological Assemblage;143;28.513502;-20.547533;20000;40000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 13-14 Archaeological Assemblage;143;28.513502;-20.547533;30000;300000;;
Magosian;Pomongwe Cave;Pomongwe Excavation I+II Layer 13A Archaeological Assemblage;24;28.513502;-20.547533;20000;40000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 13B Archaeological Assemblage;11;28.513502;-20.547533;20000;40000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 15-16 Archaeological Assemblage;722;28.513502;-20.547533;30000;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 17 Archaeological Assemblage;148;28.513502;-20.547533;30000;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 18 Archaeological Assemblage;371;28.513502;-20.547533;30000;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 19 Archaeological Assemblage;308;28.513502;-20.547533;30000;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 20-21 Archaeological Assemblage;494;28.513502;-20.547533;30000;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 22-23 Archaeological Assemblage;526;28.513502;-20.547533;42200;300000;Arch strat MSA used for age max of 300000;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 24-25 Archaeological Assemblage;420;28.513502;-20.547533;42200;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 26 Archaeological Assemblage;175;28.513502;-20.547533;42200;300000;;
MSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 27 Archaeological Assemblage;33;28.513502;-20.547533;42200;300000;;
ELSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 7 Archaeological Assemblage;172;28.513502;-20.547533;20000;40000;;
ELSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 8 Archaeological Assemblage;202;28.513502;-20.547533;20000;40000;;
ELSA;Pomongwe Cave;Pomongwe Excavation I+II Layer 9 Archaeological Assemblage;82;28.513502;-20.547533;20000;40000;;
MSA;Pomongwe Cave;Pomongwe Excavation III Layer 6 Archaeological Assemblage;4958;28.513502;-20.547533;39900;44500;;
MSA;Pomongwe Cave;Pomongwe Excavation III Layer 7 Archaeological Assemblage;539;28.513502;-20.547533;39900;44500;;
MSA;Pomongwe Cave;Pomongwe Excavation III Layer 8 Archaeological Assemblage;357;28.513502;-20.547533;39900;44500;;
MSA;Pomongwe Cave;Pomongwe Excavation III Layer 9 Archaeological Assemblage;814;28.513502;-20.547533;42200;300000;Arch strat MSA used for age max of 300000.;
Late MSA;Porc Epic Cave;Porc Epic Cave 05N-04W square Archaeological Assemblage;1062;41.8333333;9.6666667;33400;43000;;
Late MSA;Porc Epic Cave;Porc Epic Cave 06N-14W square Archaeological Assemblage;4121;41.8333333;9.6666667;33400;43000;;
Late MSA;Porc Epic Cave;Porc Epic Cave 08N-07W square Archaeological Assemblage;2784;41.8333333;9.6666667;33400;43000;;
Late MSA;Porc Epic Cave;Porc Epic Cave 1933 Backfill Archaeological Assemblage;3724;41.8333333;9.6666667;33400;43000;;
Late MSA;Porc Epic Cave;Porc Epic Cave 1933 Excavation Archaeological Assemblage;3663;41.8333333;9.6666667;33400;43000;;
Late MSA;Porc Epic Cave;Porc Epic Cave 1974 Excavation Archaeological Assemblage;5146;41.8333333;9.6666667;33400;43000;;
MSA;Powers Site;Powers Site Fourth Layer Archaeological Assemblage;-1;24.600591;-28.603543;30000;300000;arch_strat: MSA;
Acheulean - Africa;Powers Site;Powers Site Second Layer Archaeological Assemblage;-1;24.600591;-28.603543;300000;1800000;arch_strat: Acheulean Africa;
Fauresmith;Powers Site;Powers Site Third Layer Archaeological Assemblage;-1;24.600591;-28.603543;300000;650000;arch_strat: Fauresmith;
Late Sangoan;Primrose Ridge;Primrose Ridge Hilltop Rubble Archaeological Assemblage;1670;28;-26.17;200000;300000;;
Late MSA;Putslaagte 1;Putslaagte 1 Archaeological Horizon Archaeological Assemblage;1566;19.18;-31.94;53500;64100;;
Late MSA;Putslaagte 1;Putslaagte 1 Archaeological Horizon Archaeological Assemblage;1566;19.18;-31.94;55600;66000;;
Late MSA;Putslaagte 8;Putslaagte 8 CGBSS 20-22 Archaological Assemblage;417;19.153336;-31.938254;33000;45000;;
MSA;Putslaagte 8;Putslaagte 8 CGBSS 23-26 Archaological Assemblage;482;19.153336;-31.938254;58000;71000;;
MSA;Putslaagte 8;Putslaagte 8 FOBSS 1-5 Archaological Assemblage;533;19.153336;-31.938254;69500;81500;;
MSA;Putslaagte 8;Putslaagte 8 FOBSS 6-8 Archaological Assemblage;541;19.153336;-31.938254;69500;81500;;
MSA;Putslaagte 8;Putslaagte 8 FOBSS 9-14 Archaological Assemblage;460;19.153336;-31.938254;69500;81500;;
Aterian;Ras el Wadi;Ras el Wadi Aterian Surface Collection;;12;31.91666667;26990;150000;site 27E N-trench;
MSA;Ras el Wadi;Ras el Wadi Q2 Archaeological Assemblage;;12;31.91666667;30000;300000;No absolute dating. Awaiting dates from archaeology;
Aterian;Ras el Wadi;Ras el Wadi Q4 Archaeological Assemblage;;12;31.91666667;26990;150000;site 27E N-trench;
LSA;Ras el Wadi;Ras el Wadi Q5 Archaeological Assemblage;;12;31.91666667;26990;150000;site 27E N-trench;
MSA;Redcliff Cave;Above rock fall inventar;19918;29.758241;-19.016976;30000;126000;Deposit is to large and homogenous for precise a age min and max.;
MSA;Redcliff Cave;Lens 1 Inventar;79066;29.758241;-19.016976;30000;126000;Deposit is to large and homogenous for precise a age min and max.;
MSA;Redcliff Cave;Lens 2 Inventar;129049;29.758241;-19.016976;30000;126000;Deposit is to large and homogenous for precise a age min and max.;
MSA;Redcliff Cave;Lens 3 Inventar;8426;29.758241;-19.016976;30000;126000;Deposit is to large and homogenous for precise a age min and max.;
MSA;Redcliff Cave;Lens 4 Inventar;8179;29.758241;-19.016976;30000;126000;Deposit is to large and homogenous for precise a age min and max.;
MSA;Redcliff Cave;Lens 5 Inventar;13446;29.758241;-19.016976;30000;126000;Deposit is to large and homogenous for precise a age min and max.;
Mousterian - Levant;Rhafas Cave;Rhafas Cave Layer 2 Archaeological Assemblage;1769;-1.8731;34.7181;14060;90000;Doerschner 2016 OSL dating PLOS1 - New chronology for Rhafas;
Mousterian - Levant;Rhafas Cave;Rhafas Cave Layer 3a Archaeological Assemblage;384;-1.8731;34.7181;14060;90000;Doerschner 2016 OSL dating PLOS1 - New chronology for Rhafas;
Mousterian - Levant;Rhafas Cave;Rhafas Cave Layer 3b Archaeological Assemblage;1758;-1.8731;34.7181;14060;90000;Doerschner 2016 OSL dating PLOS1 - New chronology for Rhafas;
Mousterian - Levant;Rhafas Cave;Rhafas Cave Layer 5 Archaeological Assemblage;-1;-1.8731;34.7181;95000;119000;MIS 5 or 5e;
Mousterian - Levant;Rhafas Cave;Rhafas Cave Layer 53-54 Archaeological Assemblage;-1;-1.8731;34.7181;95000;119000;MIS 5 or 5e;
Mousterian - Levant;Rhafas Cave;Rhafas Cave Layer 6ab Archaeological Assemblage;1510;-1.8731;34.7181;95000;119000;MIS 5 or 5e;
MSA;Rhino Cave;Rhino Cave Test Excavation Archaeological Assemblage;292;21.729996;-18.727535;30000;129000;The age of the MSA deposits D-F should be regarded as uncertain, the absolute dates are too young for the MSA artifacts that they contain (Robbins et al. 2000);
MSA;Rhino Cave;Rhino Cave Unit D Archaeological Assemblage;;21.729996;-18.727535;30000;129000;The age of the MSA deposits D-F should be regarded as uncertain, the absolute dates are too young for the MSA artifacts that they contain (Robbins et al. 2000);
MSA;Rhino Cave;Rhino Cave Unit E Archaeological Assemblage;;21.729996;-18.727535;30000;129000;The age of the MSA deposits D-F should be regarded as uncertain, the absolute dates are too young for the MSA artifacts that they contain (Robbins et al. 2000);
MSA;Rhino Cave;Rhino Cave Unit F Archaeological Assemblage;;21.729996;-18.727535;30000;129000;The age of the MSA deposits D-F should be regarded as uncertain, the absolute dates are too young for the MSA artifacts that they contain (Robbins et al. 2000);
Middle Paleolithic - Africa;Rifa;Rifa Sand Layer Archaeological Assemblage;28;31.205;27.096944;40000;200000;;
Middle Paleolithic - Africa;Rifa;Rifa Surface Layer Archaeological Assemblage;30;31.205;27.096944;40000;200000;;
Fauresmith;Riverview VI;Riverview VI Lower Fauresmith Collection;93;24.733333;-28.338611;300000;650000;Equivalent to either Riverton Member II or III (Helgren 1978), arch_strat: Fauresmith;
Fauresmith;Rooidam;Rooidam Unit B Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
Fauresmith;Rooidam;Rooidam Unit C Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
Fauresmith;Rooidam;Rooidam Unit Di Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
Fauresmith;Rooidam;Rooidam Unit E Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
Fauresmith;Rooidam;Rooidam Unit F Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
Fauresmith;Rooidam;Rooidam Unit H Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
MSA;Rooidam;Rooidam Unit I Archaeological Assemblage;-1;24.53;-28.845;30000;300000;arch_strat: MSA;
Fauresmith;Rooidam;Rooidam Unit O Archaeological Assemblage;-1;24.53;-28.845;300000;650000;arch_strat: Fauresmith;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 132-81 Arch. Assemblage;1177;27.470019;-29.216123;35000;60000;age_min/max from correlation with post-HP layers of Harper's excavation;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 144-132 Arch. Assemblage;1797;27.470019;-29.216123;35000;60000;age_min/max from correlation with post-HP layers of Harper's excavation;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 174-144 Arch. Assemblage;4393;27.470019;-29.216123;52000;70000;age_min/max from correlation with HP layers of Harper's excavation;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 192-174 Arch. Assemblage;835;27.470019;-29.216123;52000;70000;age_min/max from correlation with HP layers of Harper's excavation;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 204-192 Arch. Assemblage;637;27.470019;-29.216123;52000;70000;age_min/max from correlation with HP layers of Harper's excavation;
Pre-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 213-204 Arch. Assemblage;637;27.470019;-29.216123;58000;100000;age_min/max derives from arch_stat;
Pre-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 219-213 Arch. Assemblage;710;27.470019;-29.216123;57000;102500;age_min/max from correlation with pre-HP layers of Harper's excavation;
Pre-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Inches 242-219 Arch. Assemblage;1097;27.470019;-29.216123;57000;102500;age_min/max from correlation with pre-HP layers of Harper's excavation;
MSA;Rose Cottage Cave;Rose Cottage Cave Layer Dy Archaeological Assemblage;7659;27.470019;-29.216123;26850;50000;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit ANN Archaeological Assemblage;382;27.470019;-29.216123;54000;64600;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit BER Archaeological Assemblage;1017;27.470019;-29.216123;49600;65300;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit BRE Archaeological Assemblage;565;27.470019;-29.216123;49600;65600;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit BYR Archaeological Assemblage;1007;27.470019;-29.216123;45900;67000;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit CLI Archaeological Assemblage;590;27.470019;-29.216123;39300;63900;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit ELA Archaeological Assemblage;337;27.470019;-29.216123;35000;57300;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit EMA Archaeological Assemblage;1089;27.470019;-29.216123;61000;70000;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit EMB Archaeological Assemblage;667;27.470019;-29.216123;62000;70000;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit EMC Archaeological Assemblage;366;27.470019;-29.216123;62000;71400;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit EMD Archaeological Assemblage;842;27.470019;-29.216123;43600;70000;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit ENG Archaeological Assemblage;690;27.470019;-29.216123;61000;65600;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit ETH Archaeological Assemblage;235;27.470019;-29.216123;38000;65400;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit JEN Archaeological Assemblage;2083;27.470019;-29.216123;36900;63900;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit JER Archaeological Assemblage;393;27.470019;-29.216123;35000;57300;;
Pre-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit KUA Archaeological Assemblage;727;27.470019;-29.216123;57000;75600;;
Pre-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit KUB Archaeological Assemblage;94;27.470019;-29.216123;57000;102500;;
Pre-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit LEN Archaeological Assemblage;465;27.470019;-29.216123;57900;102500;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit LIN Archaeological Assemblage;927;27.470019;-29.216123;53700;58300;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit LOU Archaeological Assemblage;102;27.470019;-29.216123;49600;65600;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit MAD Archaeological Assemblage;103;27.470019;-29.216123;35000;57300;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit MAL Archaeological Assemblage;441;27.470019;-29.216123;49600;65600;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit MAS Archaeological Assemblage;676;27.470019;-29.216123;49600;65600;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit MEY Archaeological Assemblage;454;27.470019;-29.216123;49600;65600;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit PAN Archaeological Assemblage;1485;27.470019;-29.216123;36900;63900;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit SUZ Archaeological Assemblage;550;27.470019;-29.216123;52000;65200;;
Post-Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit THO Archaeological Assemblage;2194;27.470019;-29.216123;36900;57300;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit TOB Archaeological Assemblage;545;27.470019;-29.216123;49600;65600;;
Howiesonspoort;Rose Cottage Cave;Rose Cottage Cave Unit VRL Archaeological Assemblage;623;27.470019;-29.216123;49600;65600;;
Sangoan;Sai Island 8-B-11;Sai Island 8-B-11 Layer BLG+UES Archaeological Assemblage;2509;30.32;20.7;162000;242000;;
Sangoan;Sai Island 8-B-11;Sai Island 8-B-11 Layer BLG+UES Archaeological Assemblage;2509;30.32;20.7;204000;242000;;
Lupemban;Sai Island 8-B-11;Sai Island 8-B-11 Layer RS-UG Archaeological Assemblage;1777;30.32;20.7;142000;202000;;
Sangoan;Sai Island 8-B-11;Sai Island 8-B-11 Layer RS-base+TLG Archaeological Assemblage;2736;30.32;20.7;162000;202000;;
Sangoan;Sai Island 8-B-11;Sai Island 8-B-11 Layer RS-base+TLG Archaeological Assemblage;2736;30.32;20.7;162000;242000;;
MSA;Saldanha;Saldanha Upper Ferruginous Crust Archaeological Assemblage;-1;18.24;-33.1;30000;300000;MSA artifacts;
MSA;Sandspruit No.1;Sandspruit No. 1 Layer 2 Archaeological Assemblage;-1;30.306;-27.678343;30000;300000;arch_strat: MSA;
Acheulean - Africa;Sandspruit No.1;Sandspruit No. 1 Layer 3 Archaeological Assemblage;-1;30.306;-27.678343;300000;1800000;arch_strat: Acheulean Africa;
MSA;Sandspruit No.2;Sandspruit No. 2 Layer 2 Archaeological Assemblage;-1;30.288973;-27.701;30000;300000;arch_strat: MSA;
Early MSA;Sea Harvest;Sea Harvest Midden Archaeological Assemblage;391;17.94931667;-33.02361667;71000;126000;attributed to cooler phase within Last Interglaciation (OIS 5), Grine+Klein 1993;
Aterian;Seggedim;Seggedim Zone A Soil Layer Archaeological Assemblage;5334;12.975;20.2;11780;126000;;
MSA;Sehonghong;Sehonghong Carters Layer III-I Archaeological Assemblage;1442;28.78333333;-29.76666667;26900;49000;;
MSA;Sehonghong;Sehonghong Carters Layer III-I Archaeological Assemblage;1442;28.78333333;-29.76666667;55300;59900;;
MSA;Sehonghong;Sehonghong Carters Layer III-I Archaeological Assemblage;1442;28.78333333;-29.76666667;55300;126000;;
Post-Howiesonspoort;Sehonghong;Sehonghong Carters Layer III-I Archaeological Assemblage;1442;28.78333333;-29.76666667;26900;49000;;
Post-Howiesonspoort;Sehonghong;Sehonghong Carters Layer III-I Archaeological Assemblage;1442;28.78333333;-29.76666667;55300;59900;;
Post-Howiesonspoort;Sehonghong;Sehonghong Carters Layer III-I Archaeological Assemblage;1442;28.78333333;-29.76666667;55300;126000;;
Microlithic LSA;Shum Laka;Shum Laka P-Deposits Archaeological Assemblage;4473;10.0788888889;5.8602777778;28700;50000;;
MSA;Sibebe Rockshelter;Sibebe Rockshelter Stratum 5 Archaeological Assemblage;-1;31.173893;-26.261524;22690;300000;Edited by Krista Dotzel 16.5.11.;
Pre-Still Bay;Sibhudu Cave;Sibhudu Cave BS Archaeological Assemblage;;31.085937;-29.522603;74600;80000;;
Final MSA;Sibhudu Cave;Sibhudu Cave Bu Archaeological Assemblage;6664;31.085937;-29.522603;35000;41600;;
Late MSA;Sibhudu Cave;Sibhudu Cave Cad, Pu Archaeological Assemblage;;31.085937;-29.522603;47000;51500;;
Final MSA;Sibhudu Cave;Sibhudu Cave Co Archaeological Assemblage;4689;31.085937;-29.522603;35400;40600;;
Final MSA;Sibhudu Cave;Sibhudu Cave DMou Archaeological Assemblage;539;31.085937;-29.522603;48600;51700;;
Howiesonspoort;Sibhudu Cave;Sibhudu Cave DRG Archaeological Assemblage;;31.085937;-29.522603;55800;63700;;
Final MSA;Sibhudu Cave;Sibhudu Cave Es Archaeological Assemblage;703;31.085937;-29.522603;48600;51700;;
Late MSA;Sibhudu Cave;Sibhudu Cave GMOD, BMOD Archaeological Assemblage;-1;31.085937;-29.522603;45700;50100;;
Howiesonspoort;Sibhudu Cave;Sibhudu Cave GR Archaeological Assemblage;-1;31.085937;-29.522603;55800;63700;;
Howiesonspoort;Sibhudu Cave;Sibhudu Cave GR2 Archaeological Assemblage;-1;31.085937;-29.522603;59700;63700;;
Howiesonspoort;Sibhudu Cave;Sibhudu Cave GS Archaeological Assemblage;-1;31.085937;-29.522603;59700;66600;;
Howiesonspoort;Sibhudu Cave;Sibhudu Cave GS2 Archaeological Assemblage;;31.085937;-29.522603;61000;66600;;
Final MSA;Sibhudu Cave;Sibhudu Cave LBMOD Archaeological Assemblage;12381;31.085937;-29.522603;48600;52200;;
Final MSA;Sibhudu Cave;Sibhudu Cave LMou Archaeological Assemblage;965;31.085937;-29.522603;48600;51700;;
Final MSA;Sibhudu Cave;Sibhudu Cave MC (hearth) Archaeological Assemblage;6303;31.085937;-29.522603;48600;51700;;
Late MSA;Sibhudu Cave;Sibhudu Cave MOD Archaeological Assemblage;-1;31.085937;-29.522603;47000;51500;;
Final MSA;Sibhudu Cave;Sibhudu Cave Mou Archaeological Assemblage;769;31.085937;-29.522603;48600;51700;;
Late MSA;Sibhudu Cave;Sibhudu Cave OMOD Archaeological Assemblage;-1;31.085937;-29.522603;44300;52400;;
